Country,Year,Value
Italy,2023,5.9
Cyprus,2023,3.9
Latvia,2023,9.1
Lithuania,2023,8.7
Luxembourg,2023,2.9
Hungary,2023,17.0
Malta,2023,5.6
Netherlands,2023,4.1
Austria,2023,7.7
Poland,2023,10.9
Portugal,2023,5.3
Romania,2023,9.7
Slovenia,2023,7.2
Slovakia,2023,11.0
Finland,2023,4.3
Sweden,2023,5.9
